tda,market,lag,p_TDA_causes_Market,p_Market_causes_TDA,TDA_causes_Market,Market_causes_TDA
log_wass_betti0,VIX,10,0.2793470136176495,0.12340486979405423,False,False
log_wass_betti0,VIX,14,0.2793470136176495,0.12340486979405423,False,False
log_wass_betti0,VIX,21,0.13310899636922602,0.12340486979405423,False,False
log_wass_betti0,BVOL,1,0.00037908175157389597,0.021476035704808792,True,True
log_wass_betti0,BVOL,3,0.00037908175157389597,0.011209567335963703,True,True
log_wass_betti0,BVOL,5,0.00037908175157389597,0.011209567335963703,True,True
log_wass_betti0,BVOL,7,0.00037908175157389597,0.011209567335963703,True,True
log_wass_betti0,BVOL,10,0.00037908175157389597,0.011209567335963703,True,True
log_wass_betti0,BVOL,14,5.97477150515959e-05,0.0018360143800398865,True,True
log_wass_betti0,BVOL,21,9.507672389760363e-06,0.0018360143800398865,True,True
log_wass_betti0,SP500,1,0.7703761981022088,0.40691520082472155,False,False
log_wass_betti0,SP500,3,0.7703761981022088,0.40691520082472155,False,False
log_wass_betti0,SP500,5,0.7703761981022088,0.40691520082472155,False,False
log_wass_betti0,SP500,7,0.7703761981022088,0.40691520082472155,False,False
log_wass_betti0,SP500,10,0.7703761981022088,0.40691520082472155,False,False
log_wass_betti0,SP500,14,0.7703761981022088,0.40691520082472155,False,False
log_wass_betti0,SP500,21,0.3532499923080103,0.40691520082472155,False,False
log_wass_betti0,fng_value,1,0.5928885866455766,0.0036261881383768306,False,True
log_wass_betti0,fng_value,3,0.005273527575810592,0.0036261881383768306,True,True
log_wass_betti0,fng_value,5,0.005273527575810592,0.0036261881383768306,True,True
log_wass_betti0,fng_value,7,0.005273527575810592,0.0036261881383768306,True,True
log_wass_betti0,fng_value,10,0.005273527575810592,0.0036261881383768306,True,True
log_wass_betti0,fng_value,14,0.005273527575810592,0.0036261881383768306,True,True
log_wass_betti0,fng_value,21,0.005273527575810592,0.0036261881383768306,True,True
log_wass_betti0,vol_btc_rogers,1,2.6108547880512477e-39,0.44871242267936784,True,False
log_wass_betti0,vol_btc_rogers,3,2.6108547880512477e-39,0.44871242267936784,True,False
log_wass_betti0,vol_btc_rogers,5,2.6108547880512477e-39,0.44871242267936784,True,False
log_wass_betti0,vol_btc_rogers,7,2.6108547880512477e-39,0.27325273144349627,True,False
log_wass_betti0,vol_btc_rogers,10,2.6108547880512477e-39,0.0031916816597418215,True,True
log_wass_betti0,vol_btc_rogers,14,2.6108547880512477e-39,6.645681620280353e-05,True,True
log_wass_betti0,vol_btc_rogers,21,2.6108547880512477e-39,3.3618683956850074e-07,True,True
vol_dtw_betti0,VIX,1,0.5950161775850737,0.40623933398357415,False,False
vol_dtw_betti0,VIX,3,0.5950161775850737,0.40623933398357415,False,False
vol_dtw_betti0,VIX,5,0.21041186781003504,0.40623933398357415,False,False
vol_dtw_betti0,VIX,7,0.1749103177749034,0.2215192535101003,False,False
vol_dtw_betti0,VIX,10,0.006708264168971438,0.1505521212710765,True,False
vol_dtw_betti0,VIX,14,0.00035121376433866724,0.0017109854920691146,True,True
vol_dtw_betti0,VIX,21,6.424436410911003e-05,0.000989574905882887,True,True
vol_dtw_betti0,BVOL,1,0.004452965204203823,2.081438226162727e-06,True,True
vol_dtw_betti0,BVOL,3,0.004452965204203823,2.081438226162727e-06,True,True
vol_dtw_betti0,BVOL,5,0.004452965204203823,2.081438226162727e-06,True,True
vol_dtw_betti0,BVOL,7,0.004452965204203823,2.081438226162727e-06,True,True
vol_dtw_betti0,BVOL,10,9.466755226445406e-08,2.75768871821555e-07,True,True
vol_dtw_betti0,BVOL,14,2.0062590161719886e-11,1.5199521048546628e-10,True,True
vol_dtw_betti0,BVOL,21,5.075908573735429e-16,6.625959972362196e-15,True,True
vol_dtw_betti0,SP500,1,0.8652519493606254,0.9664572138852957,False,False
vol_dtw_betti0,SP500,3,0.8381910568768618,0.9083949027970905,False,False
vol_dtw_betti0,SP500,5,0.8381910568768618,0.9083949027970905,False,False
vol_dtw_betti0,SP500,7,0.8381910568768618,0.9083949027970905,False,False
vol_dtw_betti0,SP500,10,0.8381910568768618,0.9083949027970905,False,False
vol_dtw_betti0,SP500,14,0.7657766097658145,0.9083949027970905,False,False
vol_dtw_betti0,SP500,21,0.7657766097658145,0.9083949027970905,False,False
vol_dtw_betti0,fng_value,1,0.8188933814112604,0.010486818205618122,False,True
vol_dtw_betti0,fng_value,3,0.7548529055286584,0.0055243602846876145,False,True
vol_dtw_betti0,fng_value,5,0.09403157727148358,0.0055243602846876145,False,True
vol_dtw_betti0,fng_value,7,0.06563501193469833,0.0055243602846876145,False,True
vol_dtw_betti0,fng_value,10,0.02193684248360049,0.0055243602846876145,True,True
vol_dtw_betti0,fng_value,14,0.00789828461166196,0.0055243602846876145,True,True
