time_index,date,vol_wass_betti0,vol_wass_betti1,vol_wass_entropy,log_wass_betti0,log_wass_betti1,log_wass_entropy,log_dtw_betti0,log_dtw_betti1,log_dtw_entropy,vol_dtw_betti0,vol_dtw_betti1,vol_dtw_entropy,SP500,VIX,BVOL,CVI,vol_btc_parkinson,vol_btc_rogers,fng_value,fng_classification,event_label,sp_ret,sp_vol7,fear&greed,vol_wass_clustering,vol_wass_degree_centrality,vol_wass_pagerank,log_wass_clustering,log_wass_degree_centrality,log_wass_pagerank,log_dtw_clustering,log_dtw_degree_centrality,log_dtw_pagerank,vol_dtw_clustering,vol_dtw_degree_centrality,vol_dtw_pagerank
1155,2023-10-20,1.18,0.0,0.0,1.36,0.0,0.0,1.52,0.0,0.0,1.18,0.0,0.0,4224.160156,21.7099990844726,11.4,45.8329,0.0009453296196977,0.0287499485383617,53.0,Neutral,1,-0.01258528377746615,0.008564081351402434,53.0,0.9875533791415811,0.9874786769711924,0.1003288141012954,0.9875533791415811,0.9874786769711924,0.1003288141012954,0.7584687992893917,0.7586488388962382,0.1039992761278728,0.9883606754241984,0.9883776727939876,0.1003153536215281
1156,2023-10-21,1.18,0.0,0.0,1.4,0.0,0.0,1.52,0.0,0.0,1.18,0.0,0.0,4224.160156,21.7099990844726,11.4,45.8329,0.0002622112659546,0.0186339298150619,63.0,Greed,1,0.0,0.008564081351402434,63.0,0.9864308803703674,0.98636388726626,0.1003641823740609,0.9864308803703674,0.98636388726626,0.1003641823740609,0.7464164285324383,0.7465409312410455,0.1050692542837479,0.9880287057914736,0.9880473831497524,0.1003403290271941
1157,2023-10-22,1.2,0.0,0.0,1.42,0.0,0.0,1.58,0.0,0.0,1.18,0.0,0.0,4224.160156,21.7099990844726,11.4,45.8329,9.224518480134887e-05,0.0111687234104498,53.0,Neutral,1,0.0,0.008564081351402434,53.0,0.9857420269522688,0.985689806242082,0.1003781666107653,0.9857420269522688,0.985689806242082,0.1003781666107653,0.7403967202371378,0.7418374842983001,0.1048112677183204,0.9872251553640362,0.9872470975536968,0.1003411652411978
1158,2023-10-23,1.2,0.0,0.0,1.4,0.0,0.0,1.58,0.0,0.0,1.18,0.0,0.0,4217.0400390625,20.3700008392334,11.74,59.9391,0.0063554027715541,0.0716612460274898,53.0,Neutral,0,-0.0016855698350798365,0.006123895125215084,53.0,0.9854817690350798,0.985421075042566,0.1003743071784594,0.9854817690350798,0.985421075042566,0.1003743071784594,0.7338109737212342,0.7351000887389654,0.1050632913900694,0.9844685369265382,0.9845118498365052,0.1004444488782424
1159,2023-10-24,1.2,0.0,0.0,1.4,0.0,0.0,1.6,0.0,0.0,1.18,0.0,0.0,4247.68017578125,18.9699993133544,15.64,58.7397,0.0016069667872303,0.0487993608791129,66.0,Greed,0,0.007265792222727274,0.007597386960502129,66.0,0.9854654716064092,0.9854024708253356,0.1003708725435662,0.9854654716064092,0.9854024708253356,0.1003708725435662,0.7301140623620475,0.7312747167188655,0.1052536688456169,0.9830688433831198,0.9831224656184286,0.1004903769320089
1160,2023-10-25,1.2,0.0,0.0,1.4,0.0,0.0,1.58,0.0,0.0,1.18,0.0,0.0,4186.77001953125,20.1900005340576,16.15,60.0693,0.000618010801927,0.0279579932813312,72.0,Greed,0,-0.014339628627712542,0.007794319288802954,72.0,0.9850084389444976,0.9849420669619552,0.100387414187861,0.9850084389444976,0.9849420669619552,0.100387414187861,0.7263951621673435,0.7279724738331537,0.104941645803259,0.982924359245193,0.982977534076542,0.1005034901301228
1161,2023-10-26,1.2,0.0,0.0,1.44,0.0,0.6922534552786369,1.64,0.0,0.0,1.18,0.0,0.0,4137.22998046875,20.6800003051757,16.63,59.7521,0.000351479704451,0.0209345831539067,71.0,Greed,0,-0.011832519778109618,0.008189515386123704,71.0,0.9841449108156006,0.9840911006860692,0.1003965085575492,0.9841449108156006,0.9840911006860692,0.1003965085575492,0.7161887829363042,0.717984351255832,0.1054780649348804,0.9825626520613552,0.982621555044588,0.1005138700008623
1162,2023-10-27,1.2,0.0,0.0,1.46,0.0,0.0,1.64,0.0,0.0,1.2,0.0,0.0,4117.3701171875,21.2700004577636,16.48,53.1047,0.000212640223232,0.0185359433578588,70.0,Greed,0,-0.004800280229768528,0.007440876779273534,70.0,0.9839705569388424,0.9838937076811975,0.1003821981284826,0.9839705569388424,0.9838937076811975,0.1003821981284826,0.7111068446772888,0.7126677352858314,0.1049555824697614,0.9817813280560368,0.981842346399808,0.1005460626971872
1163,2023-10-28,1.2,0.0,0.0,1.46,0.0,0.0,1.64,0.0,0.0,1.2,0.0,0.0,4117.3701171875,21.2700004577636,16.48,53.1047,8.517492120510564e-05,0.011678327716936,65.0,Greed,0,0.0,0.007440876779273534,65.0,0.9836362941554184,0.9835628936046356,0.1003882176515234,0.9836362941554184,0.9835628936046356,0.1003882176515234,0.7050959652632773,0.7068686908161832,0.1049391166236581,0.9815944036960624,0.9816486476038636,0.1005251469482969
1164,2023-10-29,1.2,0.0,0.0,1.46,0.0,0.0,1.62,0.0,0.0,1.18,0.0,0.0,4117.3701171875,21.2700004577636,16.48,53.1047,0.00019360184238,0.0135740450574933,72.0,Greed,0,0.0,0.007440876779273534,72.0,0.9836593508532632,0.9835906599589512,0.1003899007743253,0.9836593508532632,0.9835906599589512,0.1003899007743253,0.7058294101308242,0.7075179828679606,0.1053511455824153,0.9805781181985352,0.9806369697796544,0.1005638108793349
1165,2023-10-30,1.2,0.0,0.0,1.44,0.0,0.0,1.66,0.0,0.0,1.18,0.0,0.0,4166.81982421875,19.75,16.29,57.7154,0.0001630191292264,0.0151172423745963,68.0,Greed,0,0.012010022325859904,0.009540825779737559,68.0,0.9833770966457688,0.9833018949117164,0.1003693680197256,0.9833770966457688,0.9833018949117164,0.1003693680197256,0.6936625962626393,0.6948739953515478,0.1059280610952621,0.9799819946569852,0.98004301936615,0.1005614881136915
1166,2023-10-31,1.2,0.0,0.0,1.42,0.0,0.0,1.72,0.0,0.0,1.2,0.0,0.0,4193.7998046875,18.1399993896484,16.41,57.2008,0.0001232621076833,0.0146985229736311,66.0,Greed,0,0.006474957307233353,0.00942129897340983,66.0,0.9821762385056432,0.9820838293129776,0.1004150500234908,0.9821762385056432,0.9820838293129776,0.1004150500234908,0.6814199251081013,0.6830408484630547,0.1062525797844719,0.9787216443347204,0.9787842680023696,0.1005643187970617
1167,2023-11-01,1.2,0.0,0.0,1.42,0.0,0.0,1.76,0.0,0.0,1.2,0.0,0.0,4237.85986328125,16.8700008392334,15.91,60.059,0.0005472026277034,0.0240418598916324,66.0,Greed,0,0.010505999486313922,0.008541810400228564,66.0,0.98296624964888,0.982864205480573,0.1004008235702674,0.98296624964888,0.982864205480573,0.1004008235702674,0.6895081157289249,0.6903347858538282,0.1051325144141463,0.9750987975992766,0.975200768387387,0.1006876507584866
1168,2023-11-02,1.2,0.0,0.0,1.44,0.0,0.0,1.68,0.0,0.0,1.2,0.0,0.0,4317.77978515625,15.6599998474121,16.16,62.3783,0.0006727164446101,0.028852025383884,72.0,Greed,0,0.01885855702012762,0.008271247880469878,72.0,0.983165558874708,0.9830644302905084,0.1003748760837779,0.983165558874708,0.9830644302905084,0.1003748760837779,0.6939176413459053,0.6949596961603792,0.1049362955980047,0.9747187732736564,0.9748299198760864,0.1006697010108566
1169,2023-11-03,1.2,0.0,0.0,1.46,0.0,0.0,1.66,0.0,0.0,1.2,0.0,0.0,4358.339844,14.9099998474121,16.5,62.3783,0.0001979208607801,0.0201852420929712,65.0,Greed,0,0.009393730310931714,0.006736913196575956,65.0,0.9834085726690812,0.9832981595478576,0.1003789789751509,0.9834085726690812,0.9832981595478576,0.1003789789751509,0.7006831441763518,0.7017091069189727,0.1049127727816424,0.9738923282928736,0.9740166281187472,0.1006998675067348
1170,2023-11-04,1.2,0.0,0.0,1.44,0.0,0.0,1.66,0.0,0.0,1.2,0.0,0.0,4358.339844,14.9099998474121,16.5,62.3783,0.0001207944522748,0.010931093306389,68.0,Greed,0,0.0,0.006736913196575956,68.0,0.9826616589379796,0.982570605543318,0.1004223316785097,0.9826616589379796,0.982570605543318,0.1004223316785097,0.6895942558804385,0.6914264151207266,0.1065918054241225,0.9738730095702371,0.9740076792840056,0.1007485031929039
1171,2023-11-05,1.2,0.0,0.0,1.44,0.0,0.0,1.7,0.0,0.0,1.2,0.0,0.0,4358.339844,14.9099998474121,16.5,62.3783,0.00016421577648,0.0156444432926743,70.0,Greed,0,0.0,0.006736913196575956,70.0,0.9817856807899424,0.981696517389649,0.100443495708668,0.9817856807899424,0.981696517389649,0.100443495708668,0.6883020684019051,0.6897533806073006,0.1052242878530086,0.9735994863574868,0.9737374545177716,0.1007624996182673
1172,2023-11-06,1.22,0.0,0.0,1.5,0.0,0.0,1.74,0.0,0.0,1.2,0.0,0.0,4365.97998046875,14.8900003433227,16.65,61.6682,7.970255012130999e-05,0.0105311216729704,74.0,Greed,0,0.0017529923645738243,0.006878405705028166,74.0,0.9810596790586846,0.9809658924535136,0.1004760075758768,0.9810596790586846,0.9809658924535136,0.1004760075758768,0.6740797330682,0.6761561689330593,0.1063644521969216,0.9723952068584896,0.9725498904015826,0.1008260144031346
1173,2023-11-07,1.22,0.0,0.0,1.46,0.0,0.0,1.74,0.0,0.0,1.2,0.0,0.0,4378.3798828125,14.8100004196167,16.66,58.4748,0.0005274018853878,0.0258802063629755,68.0,Greed,0,0.0028401189192852616,0.007034734667393647,68.0,0.9813168136496924,0.9812089402282744,0.1004658779289295,0.9813168136496924,0.9812089402282744,0.1004658779289295,0.675189405359926,0.6767834917570205,0.1059115384499767,0.9708035081207184,0.9709884848136712,0.1008222056257765
1174,2023-11-08,1.22,0.0,0.0,1.48,0.0,0.0,1.78,0.0,0.0,1.2,0.0,0.0,4382.77978515625,14.4499998092651,16.8,59.1466,0.000204331298507,0.0162114341068146,66.0,Greed,0,0.0010049156221052513,0.006980263694194551,66.0,0.9808390707907916,0.9807238411420328,0.1004763520729041,0.9808390707907916,0.9807238411420328,0.1004763520729041,0.6650463004881599,0.6668488459772182,0.1069839512659653,0.970190911526278,0.9703828968664288,0.1008481122562791
